body_0_x,body_0_y,body_0_z
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
0.0,0.0,0.793
