joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16410107910633087,0.0,0.0,0.0,0.03638220205903053,0.0,0.0,0.0,0.05873358994722366,0.0,0.05232464149594307,0.0,6.367005630216135e-19,0.0,0.03422349691390991,0.0,0.021671628579497337,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3219998776912689,0.0,0.0,0.0,0.07259632647037506,0.0,0.0,0.0,0.11145924776792526,0.0,0.09943272918462753,0.0,0.00022071432613302022,0.0,0.06429291516542435,0.0,0.04070236161351204,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4654410779476166,0.0,0.0,0.0,0.10678239166736603,0.0,0.0,0.0,0.15163996815681458,0.0,0.13883329927921295,0.0,0.0006693073082715273,0.0,0.08797402679920197,0.0,0.054477620869874954,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5877593755722046,0.0,0.0,0.0,0.1354037970304489,0.0,0.0,0.0,0.1767384260892868,0.0,0.1720290184020996,0.0,0.0010364970657974482,0.0,0.10626287013292313,0.0,0.062185484915971756,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6837745308876038,0.0,0.0,0.0,0.15488621592521667,0.0,0.0,0.0,0.18762937188148499,0.0,0.2005213052034378,0.0,0.0010062260553240776,0.0,0.120677150785923,0.0,0.06444200873374939,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7489944100379944,0.0,0.0,0.0,0.1629156470298767,0.0,0.0,0.0,0.18704582750797272,0.0,0.22329843044281006,0.0,0.0004839501634705812,0.0,0.1315482258796692,0.0,0.06266135722398758,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7799334526062012,0.0,0.0,0.0,0.15916456282138824,0.0,0.0,0.0,0.1785283237695694,0.0,0.23697715997695923,0.0,-0.00036686219391413033,0.0,0.1379437893629074,0.0,0.058601975440979004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7756515741348267,0.0,0.0,0.0,0.14558929204940796,0.0,0.0,0.0,0.165860116481781,0.0,0.2380468249320984,0.0,-0.001239438191987574,0.0,0.13866426050662994,0.0,0.05398111790418625,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7393583655357361,0.0,0.0,0.0,0.1260603964328766,0.0,0.0,0.0,0.15262842178344727,0.0,0.22515186667442322,0.0,-0.0018336764769628644,0.0,0.13319343328475952,0.0,0.05016791820526123,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6791517734527588,0.0,0.0,0.0,0.10535036027431488,0.0,0.0,0.0,0.1418747752904892,0.0,0.2005404382944107,0.0,-0.001983070280402899,0.0,0.12240265309810638,0.0,0.04801686853170395,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6066241264343262,0.0,0.0,0.0,0.08824244141578674,0.0,0.0,0.0,0.13609720766544342,0.0,0.16936278343200684,0.0,-0.0016461116028949618,0.0,0.10832269489765167,0.0,0.047998931258916855,0.0
