joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8949399292469025,0.0,0.0,0.0,1.8107062205672264,0.0,0.0,0.0,2.63628289103508,0.0,2.355404384434223,0.0,0.01103571630665098,0.0,1.5034709125757217,0.0,0.9515366517007351,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.533499971032143,0.0,0.0,0.0,1.7600047402083874,0.0,0.0,0.0,2.322659455239773,0.0,2.162716444581747,0.0,0.016732682706788165,0.0,1.3437632471323013,0.0,0.8201498072594404,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.643987447023392,0.0,0.0,0.0,1.5701867640018463,0.0,0.0,0.0,1.6319794580340385,0.0,1.814907230436802,0.0,0.0203945684916107,0.0,1.0492488741874695,0.0,0.5370780825614929,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.45833632349968,0.0,0.0,0.0,1.2025956064462662,0.0,0.0,0.0,0.8997350931167603,0.0,1.5422001481056213,0.0,0.008422968676313758,0.0,0.817578099668026,0.0,0.24910969659686089,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.030875861644745,0.0,0.0,0.0,0.6877962499856949,0.0,0.0,0.0,0.2576850354671478,0.0,1.2817353010177612,0.0,-0.013813672558171675,0.0,0.6321338936686516,0.0,0.011896807700395584,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4039730429649353,0.0,0.0,0.0,0.10695867240428925,0.0,0.0,0.0,-0.2275262027978897,0.0,0.9113963693380356,0.0,-0.0343272062309552,0.0,0.43166596442461014,0.0,-0.14600083231925964,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6664291024208069,0.0,0.0,0.0,-0.43315887451171875,0.0,0.0,0.0,-0.5296427756547928,0.0,0.36870986223220825,0.0,-0.04308470888645388,0.0,0.17790086567401886,0.0,-0.21700598299503326,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0143771767616272,0.0,0.0,0.0,-0.8276041597127914,0.0,0.0,0.0,-0.6474975496530533,0.0,-0.29563233256340027,0.0,-0.03667035707621835,0.0,-0.1187589019536972,0.0,-0.21085143089294434,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4124950170516968,0.0,0.0,0.0,-1.005973294377327,0.0,0.0,0.0,-0.5996335297822952,0.0,-0.9376596659421921,0.0,-0.018590802210383117,0.0,-0.406540185213089,0.0,-0.1491062343120575,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.318355977535248,0.0,0.0,0.0,-0.9454488754272461,0.0,0.0,0.0,-0.41328035295009613,0.0,-1.3947270810604095,0.0,0.004689121851697564,0.0,-0.6217684596776962,0.0,-0.05422467365860939,0.0
